author;comment;likeCount;publishedAt
@ekowijayanto5313;Jangan sampai konlik 4 pulau ini  menyebabkan chaos antar suku di wilayah aceh dan sumut ;0;2025-06-17T01:37:17Z
@RifalFauzi-q1i;Saya warga sumut  Pendapat saya peribadi itu memang haknya aceh  Karna sebelumnya pulau itu udah dari dulu masuk wilayah aceh ;0;2025-06-17T01:36:34Z
@Yulius-fm5wh;PECAT TITO HANYA BUAT GADUH;1;2025-06-17T01:33:37Z
@NadhiraZahra-m3c;Mojopahir dukung aceh satset pk prabowo  kembalikan ke asalnya satu saudara;0;2025-06-17T01:23:01Z
@dedikipung8224;Aceh kami mendukung dan siap bela aceh;1;2025-06-17T01:21:01Z
@exgamers3087;emang tukang bikin gadung bener ternakÃ‚Â² mulyono iniÃ°Å¸ËœÂ¤;0;2025-06-17T01:20:23Z
@bocahdesa9470;Bahas2 pulau  yang korupsi hilang sudah;0;2025-06-17T01:19:49Z
@TatangSumirat-vc4bm;Bagus pk Prabowo sikat aja jangan segan segan;0;2025-06-17T01:16:46Z
@heriantokadir1608;Pecat Aja Gubernur sumut dan mendagri   biar Aman;0;2025-06-17T01:15:08Z
@natazkya;Beranikah prabowo menindak dan pecat tito ?;0;2025-06-17T01:14:33Z
@HalimahTusakdiah-w6w;Ayo pak gubernur Aceh  pertahanan 4 pulau itu milik aceh;0;2025-06-17T01:02:59Z
@sandysandy6389;Pasukan mulyono bikin gaduh aja;1;2025-06-17T00:58:09Z
@salahinput1517;tito itu melakukan pesanan jokodok;0;2025-06-17T00:53:05Z
@TakwaMedan-yv4js;Bismillaah  hati 2 bagi saudaraku diseluruh tanah air dari sabang sampai merauke ingat kita bersaudara dari sabang sampai merauke   dibaliklayar ada klan baklawy syi'ah yahudi yaman peninggalan penjajah belanda ygselalu mencari cara untuk memecah belah indonesia   jgn mengikuti langkah2 syaithon   perkara pulau itu adalah perkara dunia   tanah ini diwariskan dari nenek moyang kita pahlawan yg gugur karena membela negara indonesia dari penjajah untuk dipergunakan untuk kesejahteraan kita seluruh rakyat indonesia      MasyaAllooh;0;2025-06-17T00:46:05Z
@User-k5u8y;ini  persiden  kemana  ini menerus kan kerja Jokowi  Prabowo  sampai laut di sertipikat  pulau lain di ambil  sama rakyat kecil pelit sama pejabat royal   kalau masih pamer kekayaan Indonesia GK mikirin rakyat kecil propinsi akan merdeka sendiri bukan Papua aja;0;2025-06-17T00:42:28Z
@Indinatine;Pasti ujung ujungnya di bagi 2 yaaa d   kenapa TDK bilang lansung itu milik hak aceh;0;2025-06-17T00:27:37Z
@mariaulfahidayah8153;Sapu bersi saja orang ace;0;2025-06-17T00:22:10Z
@kaqodhen;Kami warga lombok mendukung aceh memprjuangkan haknya  semoga serambi mekah tetap aman dan damai dengan seluruh warga masyarakat indonesia  Aamiiiiin;2;2025-06-17T00:13:02Z
@esiswanto6258;Mendagri anteknya mulyono pecat saja rakyat di bentur2kan ayo saya dukung Rakyat Aceh;0;2025-06-17T00:08:58Z
@Harjo-ut3hf;pulau itu punya aceh dan hak warga aceh;0;2025-06-17T00:05:42Z
@iqbalaziz4963;SELAMANYA AKAN DI KENANG ACEH     TITOTI & BOBA ITU MALING;1;2025-06-17T00:04:38Z
@ikesuprihatin-x6h;peran Mendagri???;0;2025-06-17T00:04:32Z
@SlametRiyadi-ko5wx;Tito Karnavian ternak Jokowi;0;2025-06-16T23:49:48Z
@CilacapKota-b7f;Persiden Prabowo  jangang omong    doang tolong Di copot  tito ;0;2025-06-16T23:39:20Z
@AseranBaron;Mentri mertri titian jokowi itu segra pecat semua agar bisa menjalan tugas keperesenan srprti kejaksaan;0;2025-06-16T23:36:06Z
@endangkusumadewi0983;aku dukung aceh;0;2025-06-16T23:28:10Z
@dimaspermana420;Begini kalo pilih pleciden yang garang cuma di podium Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£ kasus korupsi gak ada yg tuntas! Tambang ilegal merajarela! Yg paling parah antek2 mulyono masih aja dipake di kabinetnya;0;2025-06-16T23:24:03Z
@RafiqAlamri;Wajib  ;0;2025-06-16T22:51:13Z
@erwinprimaputra8204;Mendagri harus di copot dari jabatannya atas keputusan yg telah di buat !!!;0;2025-06-16T22:46:39Z
@coachseagate6476;Termul bkin gaduh  prabowo harus lepaskan semua kroni2 termul di kabinet bila ingin maju;0;2025-06-16T22:35:56Z
@dindapermatasari8919;dan cari tau siapa dalang yang membuat sengketa ini  pasti ada tujuan/misi untuk mengeruk hasil pulau itu ;0;2025-06-16T22:31:02Z
@sukimankau3507;Saya dari Serambi Madinah mendukung penuh Serambi Mekah  maju terus Aceh ;0;2025-06-16T22:30:48Z
@goelescapist8279;orang orang nya mulyono  ;0;2025-06-16T22:26:06Z
@madihidayat2967;Pesanbuatindonesiabgtuhan2700baratjajah indonesiasemuaancamomonganrahasiaayatalahpesanngeriininyata waspadakiamattibatiba;0;2025-06-16T22:24:24Z
@MasMuhtar-r8q;dukung Aceh;1;2025-06-16T22:18:39Z
@mbakinayah1531;Data faktanya kalo di bungkam gimana    ?;0;2025-06-16T22:12:19Z
@mbakinayah1531;Adili jokowi;0;2025-06-16T22:02:47Z
@AfifSyabil-s6r;Tidak ada wewenangnya daerah  tp krna pemerintahan mu waktunya pulau diambil mulus  krna mentrinya antek-antek mertua mu  dan abng ipar mu wakil di pusat  skenario kalian uda kebaca bobbb;0;2025-06-16T21:49:54Z
@SriNurainy;Saya tetap mendukung Aceh sebagai pemilik 4 pulau yg disengketakan  tetapi pd waktu demo DILARANG mengibarkan bendera bulan bintang   ;1;2025-06-16T21:48:23Z
@andisembiring7655;Saya dari bangka Belitung mendukung aceh;0;2025-06-16T21:30:36Z
@AbahSalim-s8h;Aaah  Prabowo  exsent  hanya  Omon2  mustahil  TDK tahu  Kurang Labuh C Raja' Dusta  Takut Dgn Big Bosnya  Berjuang Rakyat  lah Rakyat Aceh Jihad   Bubarkan NKRI berdiri  masing 2  ;0;2025-06-16T21:22:37Z
