author;comment;likeCount;publishedAt
@rosikhinkhin4598;KEMBALIKAN KEPADA YANG BERHAK (ACEH) BIAR TIDAK BIKIN KEGADUHAN;0;2025-06-16T05:56:43Z
@kakungakung1745;Negara terburuk;;
@LutfiFakina-u4s;Tito  Kaya  Nga ada  Kerjaan ajah Mentri seperti   Ini perlu   Di masukan   kekandang ;0;2025-06-16T05:53:52Z
@bandikus4096;Warga Kalimantan prihatin dgn keputusan Mendagri  Mohon pak Prabowo berfikir jernih  ;;
@pangkasrapi;Benderah aceh  kupastikan bakal berkibar kembali;0;2025-06-16T05:53:15Z
@magad_77;Jangan di ksih  itu keinginan boby dan tito atas perintah nya  Karena ada tujuan lain  Mungkin   bukannya mikirin rakyat biar sejahtera malah bikin kisruh   ;0;2025-06-16T05:51:44Z
@TerusBerkarirsukses;Mudah2 an berpihak kepada yg hak ;;
@FaizAbdulhanan;Aceh adalah Kaka pertama para provinsi;0;2025-06-16T05:50:07Z
@LutfiFakina-u4s;Biyang keladi sebobi  Akan dilibas bersama tito;0;2025-06-16T05:49:58Z
@msufyanansori3294;Sudah keterlaluan sepertinya akan menyulut api ke kemarahan  pemerintahan Aceh;0;2025-06-16T05:47:55Z
@Ucupcarowlin;Keliatan bgd org2 rakus yaa jelas itu milik aceh  ;;
@gandidsugiharto7829;Bukan ambil alih  emangx yg ngubah uu batas wilayah sehingga sampai digeser ke sumut itu siapa ???itu aja copot pecat gitu aja kok repot pakai drakor lg  ;0;2025-06-16T05:44:46Z
@rudikurniaalam7081;Kalau memang bapak sayang NKRI tolong dong singkirkan orang2 yg tdk amanah    ;0;2025-06-16T05:43:37Z
@Hajar-v1r;Hidup Aceh ;0;2025-06-16T05:43:07Z
@atiepsosro3439;Aceh telah berjuang dg darah  airmata  bahkan nyawa pun banyak melayang  medan Bobby bin M  Jkw cukup dg permen    Hehehe canggih mana hayooo;0;2025-06-16T05:40:39Z
@oosee-korn;Geram banget sama mendagri tolong urus hal yg lebih penting    ;;
@oosee-korn;ya allah negara ini ada aja tingkah nya  gak ada hal yg lebih penting kah pak medagri?? hal kek gini kau besar besarin  msih banyak tugas penting lain yg belum diselesaikan;0;2025-06-16T05:38:00Z
@eristaveronica8678;Dari jatim dukung aceh lanjut saudaraku nenek moyangku dr aceh ;0;2025-06-16T05:37:25Z
@IrfanR15-r3q;Aceh tidak merebut 4 pulau tapi aceh mempertahankan hak nya jgan salah ngomong;1;2025-06-16T05:37:11Z
@erwanerwan3790;Urus sajalah wilayah Sumut yang rakyatnya lagi miskin dan sengsara  Jangan kamu caplok secara sepihak yang bukan wilayah kamu ;0;2025-06-16T05:35:42Z
@MasintonTumanggor;Sy yg tinggal ditap teng Sumut baru tau kl pulau mangkir itu milik aceh krn sgt dekat dgn kampung halaman saya;0;2025-06-16T05:34:24Z
@sugiricirebon1972;Bima Arya tidak logis omongannya gimana mau tau titik kordinat kalau tidak tahu batas wilayahnya ;0;2025-06-16T05:32:55Z
@erwanerwan3790;Jangan hanya OmonÃ‚Â²  ini artinya sama dengan Mengadu domba rakyat  Jangan disulut lagi Api Gam yang sudah Padam;0;2025-06-16T05:32:07Z
@EdwardSyah-q3o;Eee Bobby lain dimulut lain di hati kan;0;2025-06-16T05:27:37Z
@dafnanlubis7380;Mohon reporter ini tidak mengatakan rebutan antara Aceh dan Sumut  ini TDK benar   yg benar Sumut mencaplok pulau itu lewat Mendagri yg anggota Jokowi  ;0;2025-06-16T05:27:34Z
@endeyhoerudin-yy7cg;pecat tito;0;2025-06-16T05:22:20Z
@salurdia3907;Keluarkan aza AK 47 biar jls permasalahan y byk x komentar Tito Karnavian dr dulu kok gak tau Kelian JD tlng jngn buat kegaduhan termasuk Boby ma simasinton itu pa mau mereka kok gak tau masih sejak kerajaan Iskandar muda pulau itu Uda mmng milik Aceh JD tlng pahami oc bos sy org Aceh;0;2025-06-16T05:22:19Z
@johntitor_;Sok2 bersih anak Mulyono kongkalikong sama mendagri buat rubah aturan pulau;1;2025-06-16T05:21:07Z
@naufalahmadk404;Pemimpin yang kita pilih kenapa gawe gaduh rakyatnya memecah belah antar warganya kita rakyat Indonesia sangat malu terhadap  warga asing negara kaya tapi tidak rukunÃ°Å¸ËœÂ­;0;2025-06-16T05:19:23Z
@imamsuprantiyo9794;Mentri Bikin gaduh   pecat saja;0;2025-06-16T05:18:52Z
@sugiricirebon1972;Tito Karnavian bikin masalah  dia tidak tahu atau mungkin buta kalau yang jadi Gubernur Aceh sekarang adalah ex Panglima GAM ;1;2025-06-16T05:18:07Z
@KarliLiwang;Bukan sengketa tapi perampokan pulau di Aceh yg merampok Mendagri dgn Gbrnur Sumut;0;2025-06-16T05:15:16Z
@naufalahmadk404;Saya orang Jawa Tengah mendukung hak Aceh  tetap pertahankan pulaunya wahai warga Aceh tetap dalam NKRI merdekaÃ°Å¸â€™Âª;0;2025-06-16T05:12:39Z
@ahmanialfarezi-pt9ib;Satu keluarga serakah semua;0;2025-06-16T05:07:54Z
@BaraAzi-gi3ye;Banten mendukung acehÃ¢ÂÂ¤;1;2025-06-16T05:06:08Z
@Ammar_Bugis;Kembalikan hak Aceh  salam dari Sulawesi ;1;2025-06-16T05:02:00Z
@a.rsukahati2402;itu bukan rebutan  itu bukan sengketa  tapi pulau itu direbut dan dialihkan   ;;
@DA-ce4qz;Sitito dan siboby rupanya mau maling sumberdaya alam Aceh demi kepentingan perut dan dinasti nya  pantesan ngotot ingin mencaplok pulau pulau yg masuk wilayah Aceh ;0;2025-06-16T04:56:01Z
@khoirotinnikma2036;Tugas prabowo saat ini cukup sahkan UUD PERAMPASAN aset para kiruptor  ;;
@ArsyilMuhammad-x9y;Ijazah saja ngak jelas;0;2025-06-16T04:48:35Z
@nikmalmaula26;Pecat tito;1;2025-06-16T04:48:20Z
@masridoni20;Tito pembohong kalau dia katakan tidak memiliki kepentingan pribadi    mereka para geng solo   sangat licik  ;0;2025-06-16T04:46:01Z
@harryhasibuan9480;Rakyat mendukung Aceh;1;2025-06-16T04:44:32Z
@tanjung963;Ini ulah penghianat negara ;0;2025-06-16T04:42:21Z
@anangnaviri7900;Proro sangat terlambat dan kurang peka tdk punya kemampuan mitigasi masalah bangsa  padah dari awal sdh doliingatkan bubarkan gang solo di pemerintahannya tp bandel tdk menghargai saran senior2nya;0;2025-06-16T04:40:27Z
@RadenAnsori-p3c;Bukan rebutan pulau  tp DIREBUT   ;1;2025-06-16T04:39:35Z
@travelingandmtb;Ya knp sekarang   lagi ribut sial pagar laut  raja ampat dll   dibuatlah rame2 baru    ;0;2025-06-16T04:39:30Z
@mbanur9196;"JOKOWI PAPUA dh bermasalah terus BOBI anak mantunya JOKOWI sm berkuasa dgn 11:50 semau""nya ketika ada yg mau di ambil belum pasti bhw itu hak dh dipakdakan di ambil ali emang bikin kacau dn terus";0;2025-06-16T04:38:40Z
@KasmirMnur;4 pulau bukan sengketa di tapi dirampok   !!;0;2025-06-16T04:38:26Z
@mascutskd7498;Prabowo cuma pidato dan pidato gak ngaruh untuk rakyat  seharusnya prabowo segera berhentikan menteri dalam negeri  ;0;2025-06-16T04:38:24Z
@wahdanfarhattan2528;Bismillah  Yang terpenting masyarakat Aceh dan seluruh jajaran pemerintahan provinsi Aceh satu suara supaya visi dan misi bersama bisa tercapai demi kemaslahatan masyarakat;0;2025-06-16T04:37:49Z
@redichanelbatam2466;Saya orang sumatera dukung Aceh merdeka sepenuhnya ;;
@kreatifselalu666;Klu pak JK betul sekali   berarti pak tito salah sekali  ;0;2025-06-16T04:36:17Z
@marwanaaifah2913;Dukung  dukung hak penuh rakyat aceh  Demi NKRI ;1;2025-06-16T04:33:34Z
@muhammadthalib7711;Malah salahkan media;0;2025-06-16T04:31:44Z
@JohanNggebu-t5f;Persoalan nya ada di Mendagri dan Mulyono;0;2025-06-16T04:31:22Z
@trisnaandrian8747;Dukung aceh merdeka;1;2025-06-16T04:30:50Z
@mbanur9196;JOKOWI dg anak mantu cocok  sm memaksa ke adaan ketika ada yg mau di kuasai;0;2025-06-16T04:28:31Z
@dekeyhdi719;Jangan lupa nikel di papua;1;2025-06-16T04:24:39Z
@kancilgurun1308;Mana bisa si omon omon menangani masalah ini krn menterinya geng Solo  ;1;2025-06-16T04:17:56Z
@Sunarmin-l8w;Wah tito bikin gaduh  mentang mentang Mentri buat keputusan GK di pikir dampaknya;0;2025-06-16T04:16:38Z
@dewan3309;"Pikir"" untuk Bobby Mulyono  negara aja Aceh lawan dgn melakukan pemberontakan kepada NKRI untuk memisahkan diri dari NKRI  apalagi cuma sebatas provinsi neraga nya aja mau mereka hajar apalagi Sumut   hidup Aceh  ";0;2025-06-16T04:16:22Z
@yusufrafivshidqi3612;punya aceh ngapain direbut;0;2025-06-16T04:13:08Z
@HalomoanHasibuan-n9g;Pak prabowo  pecet Karnapian Mentri Bikin Gaduh;0;2025-06-16T04:12:49Z
@fondiekopriyatno4031;Klo dah rame / gaduh baru mau kaji ulang  Daaaasaaaaaar;0;2025-06-16T04:11:05Z
@fajaralya4662;Kl d ambil sumut  pasti d keruk   d ambil SDA;0;2025-06-16T04:09:13Z
@madesusanta18;Ngapaiiinnn MENDAGRI Repot hal 4 pulau saya dukung sumut;0;2025-06-16T04:06:22Z
@HasrawatiEcce;Dukung Aceh sepenuhnya;0;2025-06-16T04:06:01Z
@barlikuswanto;Saya dukung gubernur Aceh & rakyat Aceh  pertahankan 4 pulau rsb krn it ad politik & bisnis antara Tito  boby & jkw!!!! Hancurkan yg ingin ganggu kedaulatan Aceh  hidup Aceh  Allahuakbar!!!!!!!;0;2025-06-16T04:04:41Z
@trihandani3101;Maling  teriak maling   yg memantik sendiri nuduh ke orang lain ;0;2025-06-16T04:04:39Z
@DickyArmayoga;Ujung2 orabowo bela boby jangan mau rakyat aceh  aceh sudah benar;1;2025-06-16T04:04:11Z
@relaxsans3814;Pulau di aceh menjadi harga diri aceh Ã¢ÂÂ¤ terus perjuangkan hak kalian Rakyat aceh   jangan mau di dzolimi;0;2025-06-16T04:04:02Z
@titinmaryati205;Mertua anak menantu Rakus ;0;2025-06-16T04:02:39Z
@barlikuswanto;seharusnya sumut berhak memilikinya;0;2025-06-16T04:01:57Z
@alldopaintwidebody7252;Tito caravian terlalu banyak masalah wajar dipenjarakan;0;2025-06-16T04:01:33Z
@candraadilukmana5822;pecat tito si pemecah belah;0;2025-06-16T03:59:03Z
@WahyudinOppo-x6j;Saya dari mendoakan saudara kami Aceh berhasil mempertahankan hak mereka dari tangan 2 rakus;1;2025-06-16T03:58:26Z
@Miftahul-ulum-Langkelleng;Madura dukung Aceh;2;2025-06-16T03:58:06Z
@NurKholis-n6r;Bukan sengketa ya   tapi mencaplok dan akan mencuri tambangnya disana  Pejabat geng solo bikin gaduh terus harus pecat;0;2025-06-16T03:56:22Z
@Lotiahden;Yg jelas Tito dan siBahlil  harus dipecat jen buat rusuh lagi;1;2025-06-16T03:55:51Z
@endangkuswara7477;"Aceh harus tegas jangan mau di bodohin ternak"" Jokowi anak"" masih ingusan tak tahu sejarah perjuangan ";1;2025-06-16T03:55:28Z
@DuaBintang-o6l;Dari liputan komentar kedua Gubernur tsb  Saya meyakini Pak Prabowo akan mengembalikan HAKÃ‚Â² YG DIMILIKI ACEH;0;2025-06-16T03:55:07Z
@RepanAndri;Pecat tito;1;2025-06-16T03:54:32Z
@LinaWarlina-tq4lr;Pak Prabowo harus tegas  antek-antek jokower cepat-cepat singkirkan sangat berbahaya untuk ke utuhan bangsa;0;2025-06-16T03:53:52Z
@sitibarkah5722;Dukung AcehÃ¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ¤;1;2025-06-16T03:52:04Z
@Siputra_Bungsu0389;Min judulnya jangan bilang di caplok    tapi di putuskan menteri utntuk sumut   kami warga sumut mengakui itu pulau memamng milik aceh  bukan milik sumut ;0;2025-06-16T03:51:22Z
@ramzanosramzanos3604;Semoga cepat Aceh MERDEKA   TAKBIRRRRÃ°Å¸â€™Âª;1;2025-06-16T03:50:36Z
@nikmatulfaridah9211;"Selama kroni"" JKW msh ada d pemerintahan kan buat ulah terus  pak Prab   hemmm macan asia gt lohhh masa takut tukang kayu";0;2025-06-16T03:50:26Z
@s.syukur5556;Selamat berjuang aceh;4;2025-06-16T03:50:18Z
@tambunraja69;Mentri dan Wamen dagri hanya buat pr bagi Prabowo  ini jdi duri dlm daging  Prabowo hrs CPT gnti mentri antek Jokowi  selama ini hub Prabowo dgn Aceh SDH sgt cair  isu ini bisa jdi pemicu retaknya hubungan;0;2025-06-16T03:49:41Z
@prasetyowahyu5368;Udah jelasÃ‚Â² proyek jokowi buat menantunya sih   Terlalu gamblang pemirsah    ;0;2025-06-16T03:49:40Z
@supraptobagong8741;Memang Boby Sumut mencuri pulau dasar mantu Mulyono serakah hal yg sudah adem tentrem tapi di pimpinan rakus semua mau di ambil;0;2025-06-16T03:49:35Z
@RusliHayy;Inilah manusia yg memecahkan negara;0;2025-06-16T03:48:09Z
@mangcepimerantaudimalaysia5224;Gak ada kerjaan itu Mendagri  bukan bikin aman negara malah bikin resah aja;0;2025-06-16T03:46:26Z
@mangcepimerantaudimalaysia5224;Copotlah Tito gk ada gunanya;0;2025-06-16T03:45:01Z
@syarbinsyah3143;Serakah penyekunduo nikel;0;2025-06-16T03:43:29Z
@SulaimanLeman-l7z;Sekali pencuri tetap pencuri;0;2025-06-16T03:42:05Z
@efgachanel874;Kalau emang 4 pulau ini tidak balik ke aceh   udh saat kami masyarakat aceh ingin pisah dari NKRI;0;2025-06-16T03:38:12Z
@AhmadPirsa;Ada masalah     tukang fitnah nongol  ;0;2025-06-16T03:36:56Z
@lukmansaputra6751;Asli sudah diduga    Ada udang dibalik bakwan;0;2025-06-16T03:36:27Z
@smartlink9488;lawan jangan mundur orang2 aceh sampai kemanapon;0;2025-06-16T03:35:57Z
@ajinurmansyah7453;Masiiih prcya    oooh tentu tidaaaak  ;;
@SekolahEfootball;Mending jokodok dan keluarga urus jawa aja deh  pemilih fanatiknya kan disana semua ;;
@HJAluh;4 pulau Aceh di caplok PKI dan asieng China (dirampas)   Pura2 untuk Sumut ;0;2025-06-16T03:31:56Z
@Sanimun1958;Pak Jokowi meninggal kericuan dimana mana mulai Ijasah  p raja ampat  sengketa pulau ada apa kan Kasian P Pak Prabowo ditinggal barang bobrok semogo sehat P  Prabowo  Amin;0;2025-06-16T03:31:55Z
@EtaWelah-t8e;Raja ampat di kelola oleh genk pager laut alias aguan kawal terus  semangat buat warga aceh kebenaran pasti menang;0;2025-06-16T03:27:49Z
@hendiamd2376;Fenomena bermunculannya Relawan ONOH relawan INIH di KONOHA;;
@Sanimun1958;Sengketa pulau aja sampai Pak Prabowo mendagri opo Tito kalau terjadi perubahan pd saat kepemimpinan;0;2025-06-16T03:26:10Z
@zein-vLoG;DetikÃ‚Â² aceh merdeka   medan adic kita kasih paham siapa aceh sebenarnya ;0;2025-06-16T03:26:07Z
@Sonia-2025-y2m;Menurut saya ini merupakan tindakan pengalihan isu yg sedang terjadi di raja ampat  jangan palingkan kejadian di raja ampat Ã°Å¸ËœÂ®Ã°Å¸ËœÂ®Ã°Å¸ËœÂ®;0;2025-06-16T03:25:31Z
@cobrachanel2297;Bukan rebutan bos  Sudah jelas itu pulau aceh  Ada sejarah nya  Cuma yg buat gaduh si tito karnaval itu ;0;2025-06-16T03:25:18Z
@Sonia-2025-y2m;Alaah pengalihan isu raja ampat nih;0;2025-06-16T03:23:51Z
@Lilinwei007;pulau itu punya aceh dan hak warga aceh;;
@habibpamungkas3503;Kami warga kalbar  Itu full milik aceh;0;2025-06-16T03:19:21Z
@OmanRahmatullah;Saya orang banten ikut mendukung aksi kalian warga Aceh  memepertahankan hak hak kalian;0;2025-06-16T03:18:50Z
@TeddyDharmawan-pf9so;Aceh tetap aceh sumatera tetap sumatera    tito karnavian hendak menciptakan kekacauan dinkri  ;;
@Junaidi-iq1rz;Bumi hanguskan boby nasution;0;2025-06-16T03:15:57Z
@RosHutagaol;Selamat berjuang ya saudara2 ku warga aceh  ;;
@nanikmeseran6935;Ssya dari jtm dukung aceh mandiri sendir saudaraku Ã°Å¸â€™ÂªÃ°Å¸â€™ÂªÃ°Å¸â€˜Â;0;2025-06-16T03:12:11Z
@arifmugiono2158;Gesek dikit meletup ceos berubah jadi perang sodara    ;;
@AhmadFauzan-s5j;kenapa saya lebih senang aceh merdeka yaaÃ¢ÂÂ¤;0;2025-06-16T03:10:33Z
@ajibabay214;Wowo Wiwi sama saja;0;2025-06-16T03:09:47Z
@desabunder2889;Praroro GK jelas;0;2025-06-16T03:06:17Z
@kevin-vy8iu;lo bobiy  itu mentu nya jokowi lo ati2 lonnya klu ngomong jangan seperti mertua lo nya;0;2025-06-16T03:02:36Z
@adriansyahpapa2356;Kalau Gubenur Sumut tidak ada niat mengambil Pulau Aceh kenapa di ajak untuk mengelola bersama ucapan nya bohong;0;2025-06-16T03:02:33Z
@egiesoemantri6666;Hidup Aceh kami mendukungmu;0;2025-06-16T03:01:07Z
@darnawihasanbasri1464;   warisan mertua;0;2025-06-16T03:00:28Z
@munawirsadzali2378;Perasaan warga sumut juga ga ada yg ngaku2 4 pulau itu milik sumut;0;2025-06-16T02:59:29Z
@nkrihargamati3632;Negara kocak  ;0;2025-06-16T02:57:41Z
@saskiamabrura9499;Kalau Aceh bukan berebut pulau tp mempertahankan hak  ahklak mendagri TK itu kayak PBB ngasih tanah buat israel sepihak tanpa ijin pemilik tanah yg asli ;0;2025-06-16T02:56:59Z
@Nurdin-h6v;Dari Dulu Ga Ada Kisruh Pulau Baru Sekarang Di Ributin  Paraahh   ;0;2025-06-16T02:51:35Z
@hasnawatihakim2776;Tito karnafian ada apa dgnnya????;0;2025-06-16T02:48:45Z
@nurwahidah113;saya dr ntb dukung aceh;0;2025-06-16T02:48:08Z
@MudaBocil;Apa tujuan Gebernur sumut angkat masalah ini dan siapa penggeraknya    ;0;2025-06-16T02:44:15Z
@V1s1on-;Manusia serakah;0;2025-06-16T02:43:14Z
@MudaBocil;"Tito ""negara"" kan wakalah    ";0;2025-06-16T02:43:03Z
@FikaAfika-lo9ey;Sumpah sama sekali gak percaya sama Prabowo  liat kasus pagar laut sudah selesai gak;0;2025-06-16T02:42:51Z
@doniaslam5750;demi mulyono;0;2025-06-16T02:42:10Z
@diskusitaniternak;Kawan kawan mahasiswa dan masyarakat di sumut mendukung di setiap tongkrongan diskusi mendukung Aceh untuk mempertahankan kan haq nya;0;2025-06-16T02:41:01Z
@sukirmanherisiswanto7810;Ini Mendagri sama gubernur bikin gaduh NKRI saja bukannya bikin program yang majukan rakyat bukan malah bikin memecah belah NKRI;0;2025-06-16T02:40:56Z
@SutajiPramono;Klu Uda ramai dan viral baru di lakukan kajian dasar Wamen ;0;2025-06-16T02:40:26Z
@sabeena5028;Menyelesaikan masalah  tambah masalah  Secara objektif katanya?;0;2025-06-16T02:38:17Z
@IhatIhat-oc5fb;copot semua titipan Jokowi;0;2025-06-16T02:37:57Z
@MarlisCandra-x5c;Kami dari sumatera barat mendukung rakyat Aceh  karena sudah jelas dari awal pulau tersebut wewenang Aceh  ;0;2025-06-16T02:37:33Z
@IhatIhat-oc5fb;Lah loe kenapa kepedean ngajak ngurus pulau pulau bareng bareng sama Aceh? Hadeuh ;0;2025-06-16T02:36:52Z
@lepisiregar7308;gubernur bobi ini tidak mau mencontoh gubernur jawa barat kang dedy mau menolong semua orang membangun daerah jawa barat dengan hati yang iklas   mungkin kang dedy ini orang nya manusia nya sholat yang benar islam muslim yang benar jadi kang dedy ini takut nanti kalau mati akan mempertanggung jawabkan pertanggung jawaban hidup kita waktu di dunia;0;2025-06-16T02:35:40Z
@NyomanYasa-n1s;Kegaduhan masyarakat tidak datangnya dari bawah  pasti dari atas  karena kebijakan yg dibikin selalu bikin kontroversi ;0;2025-06-16T02:34:48Z
@AyessStar;Klo prabowo tetep menggunakan peraturan kemendagri maka sdh jls gubernur aceh sdh menyatakan tgl 4 desember akan mengibarkan bendera aceh  memisahkan dr RI;0;2025-06-16T02:34:08Z
@iwankasma4675;Omon omon itu dia   ;0;2025-06-16T02:32:15Z
@RahmatHidayat-rh2pe;sudah lah boby nasution istrimu kita kelola sama sama yuk   aku satu bulan saja;0;2025-06-16T02:30:14Z
@YouTubeholly;kami warga Banten mendukung penuh atas hak tanah dan pulau acceh  bobi lengserkan dari jabatannya sebagai gubernur yang serakah atas tanah dan pulau Aceh ;0;2025-06-16T02:27:29Z
@cobe2043;Bikin gaduh aja nih Mendagri  ;0;2025-06-16T02:25:56Z
@eliassimangunsong9335;Memang betul juga yg dikatakan Rismon Sianipar dari dulu dia suarakan copot/ganti   mantan Kapolri Tito Karnavian  yg skrng Mendagri  ini bikin masalah lagi  kasian warga Aceh ;0;2025-06-16T02:25:47Z
@Whadia656;Mendagri harus bertanggung jawab atas kegaduhan sengketa ini;0;2025-06-16T02:25:21Z
@rinaasnizar3402;Ya Allah lindungi Aceh  tetapkan 4 pulau itu tetap menjadi milik warga Aceh dan di kelola oleh warga Aceh juga  Amiin;0;2025-06-16T02:24:52Z
@bayaja8965;Kami warga sumut sendiri menolak keputusan mendagri ini dan gubernur sumut gak perlu banyak omong karena akan memantik/memicu konflik itu yang dimaksud media loh   bobi(bot4kbiad4p);0;2025-06-16T02:23:20Z
@budiono4365;Publik monitor    ;;
@sikumbangpejelajah;lagian pulau diacak2 sih  kisruhkan jdnya;0;2025-06-16T02:22:21Z
@NenekTitik-d1y;Seluruh indonesia mendukung aceh yg bener itu kekayaan rakyat aceh Ã¢ÂÂ¤;0;2025-06-16T02:22:19Z
@soekardan1238;bukan pengalihan isu  ??;0;2025-06-16T02:21:48Z
@ruslanruslan1190;Kami dari Jawa timur  mendukung penuh pada Rakyat Aceh    Pertahankan wilayahmu sekuat tenaga Ã°Å¸â€˜ÂÃ°Å¸â€™ÂªÃ°Å¸â€™ÂªÃ°Å¸â€™Âª;14;2025-06-16T02:18:56Z
@ElvaaWulandari;sebenarnya kegentingan yg terjadi di masyarakat itu akibat ulah pemimpin kita sendiri   ;0;2025-06-16T02:17:38Z
@UdinGodek-h1i;bela sumut;1;2025-06-16T02:17:03Z
@drssunardi7215;Sinetron  yg tak bermutu tapi bagus lah untuk bikin NKRI ini terpecah  !;0;2025-06-16T02:14:50Z
@murasad6823;Jangan - jangan tujuan pak tito karnafian membuat gadu 4 pulau milik Aceh untk meredam isu ijah palsu di media ;0;2025-06-16T02:12:21Z
@Dragonsoul567;kembalikan 4 pulau ke aceh    jaga keutuhan NKRI   ;0;2025-06-16T02:11:43Z
@nanangridayana2918;Maunya apa sih Gubernur SUMUT itu  mungkin sudah biasa dengan taktik mengajukan sesuatu di legalisasi oleh kekuasaan  maaf jangan harap sekarang ini bisa berhasil ;0;2025-06-16T02:10:06Z
@zulkarnainsikumbang4956;Kenapa semasa boby jadi gubernur sumut kok masah pulau di aceh terjadi masalah begini  Semasa gubenur terdahu ngak pernah terjadi masalah;0;2025-06-16T02:07:15Z
@muhamadismail3085;Ya pak kembali kan ke aceh pulau pulau itu oak saya warga sumut malu pak;0;2025-06-16T02:07:10Z
@SafiahAjja;Jadi manusia jangan serakah;;
@indramahkota7435;Tito pasti dapat restu dari Prabowo  ;;
@rismanainggolannainggolan6482;Kamu dukung aceh pertahan kan hak pulau aceh;0;2025-06-16T02:03:33Z
@KetutSubadra-nr7nw;Ini pertanda apa ya   di timur NKRI Papua Bahlil yg kuasa di barat NKRI Aceh Tito yg punya kuasa   NKRI satu mana kuasa nya;0;2025-06-16T02:02:48Z
@MudaRajana;Aceh akan menjadi negara berdaulat  dan menjadi tetangga indonesia;0;2025-06-16T02:01:46Z
@NafkhanZemaidar-x5f;Hidup acehÃ¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ¤ pertahankan hak mu;0;2025-06-16T02:01:28Z
@sitisumarni7560;Kami dari malang jatim mendukung perjuangan Aceh  P  Prabowo copot Tito mentri yg gak tau sejarah Aceh  NKRI harga mati   merdeka ;1;2025-06-16T02:00:23Z
@YufinHarti;Jangan menyerah aceh;0;2025-06-16T02:00:02Z
@deskav7793;ACEH KAMI BERSAMAMU   PERTAHANKAN HAK KALIAN   ;0;2025-06-16T01:59:10Z
@adifirnandes;skema nyuri   pak bobby ke ayah mertua  trus ayah mertua perintahkan ke pak tito kemudian pak tito putuskan sepihak secara langsung memindahkan kepemilikan 4 pulau aceh ke sumut   pembahasan mo dari tahun sebelum masehi pun gk ngaruh     ;0;2025-06-16T01:58:37Z
@deskav7793;SAYA SUDAH TAK PERCAYA OMONGAN KELUARGA JOKOWI;0;2025-06-16T01:58:34Z
@Ronizul;plat mobil BL klo ke medan banyak dilirik   apalagi pulau diaceh yg mengandung migas     dikatain jujur dibilang rasis didiam aja jadi emosi     ;;
@Latifah-o9k;Saya sendiri orang sumatra utara   tapi saya mendukung aceh;0;2025-06-16T01:56:34Z
@SariSari-j2h;Judul ny itu lho (Menyaplok);;
@mhnuraziz4375;secara geografis itu milik sumut;0;2025-06-16T01:52:23Z
@tranellmj4406;pecat Tito dia bikin gaduh       ;;
@endahrahayu2444;Mohon maaf kok lucu ya kesannya kok ini sengketa  Padahal ulah oknum    Aceh kan damai saja awalnya;0;2025-06-16T01:49:34Z
@nemorromen6946;Di ambil alih si prabowo terus di kasihkan ke bosnya yaitu jokowi;0;2025-06-16T01:49:25Z
@arjuna_ireng9925;caranya? yaa lewat jalur belakang     kan di 4 pulau menyimpan potensi migas ;0;2025-06-16T01:49:07Z
@sumarwanaris;"Anak buah Mulyono emang parah2 ya demi menantu Mulyono  hak wilayah lain pun di ""maling"" ";0;2025-06-16T01:48:32Z
@hannysensei;ujung ujung nya jd buat bisnis ;;
@solihinsolihin8629;Ingat penyesalan yg akan diterima kalau mengikuti tito antek jokowi;0;2025-06-16T01:48:10Z
@denaliekcorleoncuk;Mentri plus Wamen kalo ga bikin gaduh ga bangga keknya ;0;2025-06-16T01:46:52Z
@ferisetiawan5515;aceh udah luas kasih aja jadi milik sumut;0;2025-06-16T01:42:39Z
@NoniWaruhu;Ngak ada masalah dari dulu! Ini aja baru ada masalah di buat ;0;2025-06-16T01:41:12Z
@HardiHardi-mm1bc;Masyarakat Sumatera Utara aja gak masalah  Masyarakat Aceh dan Sumut dah nyaman tentrem  Pak Prabowo harus tegas dgn orang orang yg bikin gaduh      ;0;2025-06-16T01:40:57Z
@NoniWaruhu;Lagi pula Aceh nkri juga   Kenapa sumut tu buat kisruh ;0;2025-06-16T01:39:37Z
@buyungal5518;Kalau harus ada kesepakatan dua belah pihak kenapa pemindahan 4 pulau diaceh dipindahkan tanpa izin dari pemerintahan aceh ;0;2025-06-16T01:37:45Z
@rosanahadrian1255;Di era sby dan jk berusaha membuat aceh kondusif knp di era prabowo ini aceh dipancing untuk bergejolak lg;0;2025-06-16T01:36:26Z
@kasanglopak1626;Lansung di batalkan kenapa memang milik Aceh;0;2025-06-16T01:35:50Z
@Hotmariamanurung-qr7lj;Saya orang Sumut  mendukung rakyat Aceh  ngapain sih bikin ribut  utak atik kepemilikan pulau yg selama ini sudah jadi milik Aceh;0;2025-06-16T01:34:14Z
@YosepLega;Tak perlu dibahas lagi  ikuti petunjuk Bpk yusuf kalla dan bapa susilo bambang yudoyono  Ke empat pulau itu milik aceh titik;0;2025-06-16T01:34:12Z
@Its_zahra-y3k;KAMI WARGA JAKARTA    SANGAT MENDUKUNG WARGA ACEH ;;
@BakulbuahBuah;Ayo pak prabowo selesaikan konflik 4 pulau ! Sebelum konflik ini menjadi besar;0;2025-06-16T01:31:28Z
@nuraini-bl9zw;api dalam sekam   jangan di banggun kan ;0;2025-06-16T01:29:23Z
@bangkhas7774;Tito Karnavian copot ini ternak Jokowi;0;2025-06-16T01:28:48Z
